"Package","Group","Prefabs","Materials","Textures","Shaders","ShaderGraphs","DemoScenes","Animations","Audio","Readmes","Archives","TotalAssets","Notes"
"Volumetric Fog & Mist 2","Demo / DemoFogOfWar","0","0","0","0","0","1","0","0","0","0","1","URP volumetric fog system, fog volumes, fog of war, distant fog, presets, and demos."
"Volumetric Fog & Mist 2","Demo / DemoShaderGraph","0","2","1","0","0","1","0","0","0","0","5","URP volumetric fog system, fog volumes, fog of war, distant fog, presets, and demos."
"Volumetric Fog & Mist 2","Demo / Noise Textures","0","0","4","0","0","0","0","0","0","0","4","URP volumetric fog system, fog volumes, fog of war, distant fog, presets, and demos."
"Volumetric Fog & Mist 2","Demo / Presets","0","0","0","0","0","0","0","0","0","0","18","URP volumetric fog system, fog volumes, fog of war, distant fog, presets, and demos."
"Volumetric Fog & Mist 2","Demo / URP Pipeline Settings","0","0","0","0","0","0","0","0","0","0","3","URP volumetric fog system, fog volumes, fog of war, distant fog, presets, and demos."
"Volumetric Fog & Mist 2","Runtime resources","2","1","2","9","2","0","0","0","0","0","18","URP volumetric fog system, fog volumes, fog of war, distant fog, presets, and demos."
"Volumetric Fog & Mist 2","Volumetric Fog & Mist 2","0","0","0","0","0","0","0","0","1","0","1","URP volumetric fog system, fog volumes, fog of war, distant fog, presets, and demos."
"Volumetric Fog Bundle Archives","Volumetric Fog Bundle Archives","0","0","0","0","0","0","0","0","1","2","3","Built-in and URP unitypackage archives; imported runtime appears mainly under VolumetricFog2."
"Volumetric Lights","Demo / Church","0","5","11","0","0","1","0","0","1","0","19","URP volumetric lights, dust particles, translucent occlusion, and lighting demo scenes."
"Volumetric Lights","Demo / Minimal","0","2","0","0","0","1","0","0","0","0","7","URP volumetric lights, dust particles, translucent occlusion, and lighting demo scenes."
"Volumetric Lights","Demo / Temple","5","18","2","0","0","1","0","0","0","0","28","URP volumetric lights, dust particles, translucent occlusion, and lighting demo scenes."
"Volumetric Lights","Demo / URP Pipeline Settings","0","0","0","0","0","0","0","0","0","0","3","URP volumetric lights, dust particles, translucent occlusion, and lighting demo scenes."
"Volumetric Lights","Runtime resources","1","1","3","10","0","0","0","0","0","0","18","URP volumetric lights, dust particles, translucent occlusion, and lighting demo scenes."
"Volumetric Lights","Volumetric Lights","0","0","0","0","0","0","0","0","1","0","7","URP volumetric lights, dust particles, translucent occlusion, and lighting demo scenes."
"Volumetric Lights Bundle Archives","Volumetric Lights Bundle Archives","0","0","0","0","0","0","0","0","1","2","3","Built-in and URP unitypackage archives; imported runtime appears mainly under VolumetricLights."
