"Package","Group","AssetType","Category","Tags","Placement","Name","Path","SizeKB","UseHint"
"Bajiaoshan Wind Frames","Bajiaoshan Wind Frames","Texture","Texture","Air/Dust/Fog; Weapon Sprite Frames","","bajiaoshan_fanwind_frame_02","Assets/Art/Weapons/BajiaoshanFrames/frames_2k/bajiaoshan_fanwind_frame_02.png","1226.2","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Wind Frames","Bajiaoshan Wind Frames","Texture","Texture","Air/Dust/Fog; Weapon Sprite Frames","","bajiaoshan_fanwind_frame_03","Assets/Art/Weapons/BajiaoshanFrames/frames_2k/bajiaoshan_fanwind_frame_03.png","884.1","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Wind Frames","Bajiaoshan Wind Frames","Texture","Texture","Air/Dust/Fog; Weapon Sprite Frames","","bajiaoshan_fanwind_frame_04","Assets/Art/Weapons/BajiaoshanFrames/frames_2k/bajiaoshan_fanwind_frame_04.png","1347.7","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Wind Frames","Bajiaoshan Wind Frames","Texture","Texture","Air/Dust/Fog; Weapon Sprite Frames","","bajiaoshan_fanwind_frame_05","Assets/Art/Weapons/BajiaoshanFrames/frames_2k/bajiaoshan_fanwind_frame_05.png","1935","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Wind Frames","Bajiaoshan Wind Frames","Texture","Texture","Air/Dust/Fog; Weapon Sprite Frames","","bajiaoshan_fanwind_frame_06","Assets/Art/Weapons/BajiaoshanFrames/frames_2k/bajiaoshan_fanwind_frame_06.png","2002.6","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Wind Frames","Bajiaoshan Wind Frames","Texture","Texture","Air/Dust/Fog; Weapon Sprite Frames","","bajiaoshan_fanwind_frame_07","Assets/Art/Weapons/BajiaoshanFrames/frames_2k/bajiaoshan_fanwind_frame_07.png","1577.6","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Wind Frames","Bajiaoshan Wind Frames","Texture","Texture","Air/Dust/Fog; Weapon Sprite Frames","","bajiaoshan_fanwind_frame_08","Assets/Art/Weapons/BajiaoshanFrames/frames_2k/bajiaoshan_fanwind_frame_08.png","1409.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Wind Frames","Bajiaoshan Wind Frames","Texture","Texture","Air/Dust/Fog; Weapon Sprite Frames","","bajiaoshan_fanwind_frame_09","Assets/Art/Weapons/BajiaoshanFrames/frames_2k/bajiaoshan_fanwind_frame_09.png","1395.8","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Wind Frames","Bajiaoshan Wind Frames","Texture","Texture","Air/Dust/Fog; Weapon Sprite Frames","","bajiaoshan_fanwind_frame_10","Assets/Art/Weapons/BajiaoshanFrames/frames_2k/bajiaoshan_fanwind_frame_10.png","1354.2","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Wind Frames","Bajiaoshan Wind Frames","Texture","Texture","Air/Dust/Fog; Weapon Sprite Frames","","bajiaoshan_fanwind_frame_11","Assets/Art/Weapons/BajiaoshanFrames/frames_2k/bajiaoshan_fanwind_frame_11.png","955","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Wind Frames","Bajiaoshan Wind Frames","Texture","Texture","Air/Dust/Fog; Weapon Sprite Frames","","bajiaoshan_fanwind_frame_12","Assets/Art/Weapons/BajiaoshanFrames/frames_2k/bajiaoshan_fanwind_frame_12.png","1008.8","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Wind Frames","Bajiaoshan Wind Frames","Texture","Texture","Air/Dust/Fog; Weapon Sprite Frames","","bajiaoshan_fanwind_frames_2k_preview","Assets/Art/Weapons/BajiaoshanFrames/bajiaoshan_fanwind_frames_2k_preview.png","1838.1","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Wind Frames","Bajiaoshan Wind Frames","Texture","Texture","Air/Dust/Fog; Weapon Sprite Frames","","bajiaoshan_fanwind_sheet","Assets/Art/Weapons/BajiaoshanFrames/bajiaoshan_fanwind_sheet.png","1212.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Bajiaoshan Wind Frames","Bajiaoshan Wind Frames","Texture","Texture","Air/Dust/Fog; Weapon Sprite Frames","","bajiaoshan_fanwind_sheet_chromakey","Assets/Art/Weapons/BajiaoshanFrames/bajiaoshan_fanwind_sheet_chromakey.png","1796.6","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","Cartoon FX Remaster","Demo Scene","Demo Scene","","","CFXRF Demo","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXRF Demo.unity","216.4","Open to inspect vendor timing, lighting, camera, and timeline organization."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Magic/Energy","Loop/Ambient","cfxr aura rays hdr ab nosp","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr aura rays hdr ab nosp.mat","3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Magic/Energy","Loop/Ambient","cfxr aura runic hdr ab nosp","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr aura runic hdr ab nosp.mat","3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Liquid/Blood","","cfxr blood dissolve ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr blood dissolve ab.mat","3.4","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Splash; Liquid/Blood","","cfxr blood splash dissolve ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr blood splash dissolve ab.mat","3.5","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Liquid/Blood","","cfxr bubble 2 ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr bubble 2 ab.mat","3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Liquid/Blood","","cfxr bubble ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr bubble ab.mat","3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Liquid/Blood","","cfxr bubble hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr bubble hdr ab.mat","3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Projectile","","cfxr card club ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr card club ab.mat","3.2","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Projectile","","cfxr card diamond ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr card diamond ab.mat","3.2","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Projectile","","cfxr card heart ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr card heart ab.mat","3.2","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Projectile","","cfxr card spade ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr card spade ab.mat","3.2","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Air/Dust/Fog","","cfxr cloud blur add","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr cloud blur add.mat","4.4","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr debris 3x3 ab lit","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr debris 3x3 ab lit.mat","4.6","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr debris 3x3 ab lit emission","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr debris 3x3 ab lit emission.mat","4.6","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr debris flat unlit 3x3 ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr debris flat unlit 3x3 ab.mat","4.4","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr debris flat unlit 3x3 ab hdr","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr debris flat unlit 3x3 ab hdr.mat","4.4","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Ice/Crystal","","cfxr debris ice 2x2 ab lit","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr debris ice 2x2 ab lit.mat","4.6","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr debris unlit 3x3 ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr debris unlit 3x3 ab.mat","4.4","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr debris wood 3x3 ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr debris wood 3x3 ab.mat","4.5","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr debris wood unlit 3x3 ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr debris wood unlit 3x3 ab.mat","4.4","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Electric","","cfxr electric arc anim x4","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr electric arc anim x4.mat","4.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Electric","","cfxr electric arcs fade x4 hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr electric arcs fade x4 hdr ab.mat","4.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Electric","","cfxr electric arcs x4 hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr electric arcs x4 hdr ab.mat","4.2","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Electric","","cfxr electric small anim 4x2 hdr","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr electric small anim 4x2 hdr.mat","4.2","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Electric","","cfxr electric small anim2 7x2 ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr electric small anim2 7x2 ab.mat","3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Electric","","cfxr electric sparks ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr electric sparks ab.mat","4.1","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Electric","","cfxr electric sparks hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr electric sparks hdr ab.mat","4.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Fire","","cfxr ember blur hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr ember blur hdr ab.mat","4.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Fire","","cfxr fire blur fade hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr fire blur fade hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Fire; Magic/Energy","Ground/Area","cfxr fire circle blur hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr fire circle blur hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Fire; Magic/Energy","Ground/Area","cfxr fire circle crisp hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr fire circle crisp hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Fire; Magic/Energy","Ground/Area","cfxr fire circle drawn blurred hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr fire circle drawn blurred hdr ab.mat","3.2","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Fire; Magic/Energy","Ground/Area","cfxr fire circle drawn hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr fire circle drawn hdr ab.mat","3.2","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Fire; Magic/Energy","Ground/Area","cfxr fire circle plain hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr fire circle plain hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Fire","","cfxr fire crisp fade hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr fire crisp fade hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Fire","","cfxr fire crisp fade nosp hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr fire crisp fade nosp hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Fire","","cfxr fire edge hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr fire edge hdr ab.mat","3.2","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Fire","","cfxr fire full blurred fade hdr add","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr fire full blurred fade hdr add.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Fire","","cfxr fire plain fade hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr fire plain fade hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Fire","","cfxr fire small anim blurred hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr fire small anim blurred hdr ab.mat","3.2","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Fire","","cfxr fire small anim hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr fire small anim hdr ab.mat","3.2","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","Fire","","cfxr fire stepped fade hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr fire stepped fade hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme blur mid fine hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme blur mid fine hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme blur mid hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme blur mid hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme blur stable fine hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme blur stable fine hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme blur stable hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme blur stable hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme blur unstable fine hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme blur unstable fine hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme blur unstable hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme blur unstable hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme candle hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme candle hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme candle unstable hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme candle unstable hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme crisp mid fine hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme crisp mid fine hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme crisp mid hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme crisp mid hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme crisp stable fine hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme crisp stable fine hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme crisp stable hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme crisp stable hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme crisp unstable fine hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme crisp unstable fine hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme crisp unstable hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme crisp unstable hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme plain mid fine hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme plain mid fine hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme plain mid hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme plain mid hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme plain stable fine hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme plain stable fine hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
"Cartoon FX Remaster","CFXR Assets / Graphics","Material","Material","","","cfxr flamme plain stable hdr ab","Assets/ThirdParty/JMO Assets/Cartoon FX Remaster/CFXR Assets/Graphics/cfxr flamme plain stable hdr ab.mat","3.3","Reusable resource component for materials, textures, shaders, data, prefabs, or new VFX assemblies."
